INJECTION SCHEME : 25ns_1465b_1453_1122_1153_72bpi_23inj

idx,inj Nbr,	Ring,RF Bucket,Bu Spac (ns),bu per PS batch,SPS Batch spac,PSbatch nbr
1,	1,	ring_1,	1,		0,		1,		0,	1
2,	1,	ring_2,	1,		0,		1,		0,	1
3,	2,	ring_1,	881,		25,		12,		0,	1
4,	2,	ring_2,	1181,		25,		12,		0,	1
5,	3,	ring_1,	1691,		25,		12,		0,	1
6,	3,	ring_2,	1691,		25,		12,		0,	1
7,	4,	ring_1,	2181,		25,		72,		0,	1
8,	4,	ring_2,	2181,		25,		72,		0,	1
9,	5,	ring_1,	3271,		25,		72,		0,	1
10,	5,	ring_2,	3271,		25,		72,		0,	1
11,	6,	ring_1,	4361,		25,		72,		0,	1
12,	6,	ring_2,	4361,		25,		72,		0,	1
13,	7,	ring_1,	5451,		25,		72,		0,	1
14,	7,	ring_2,	5451,		25,		72,		0,	1
15,	8,	ring_1,	6541,		25,		72,		0,	1
16,	8,	ring_2,	6541,		25,		72,		0,	1
17,	9,	ring_1,	8941,		25,		72,		0,	1
18,	9,	ring_2,	8941,		25,		72,		0,	1
19,	10,	ring_1,	10031,		25,		72,		0,	1
20,	10,	ring_2,	10031,		25,		72,		0,	1
21,	11,	ring_1,	11121,		25,		72,		0,	1
22,	11,	ring_2,	11121,		25,		72,		0,	1
23,	12,	ring_1,	12211,		25,		72,		0,	1
24,	12,	ring_2,	12211,		25,		72,		0,	1
25,	13,	ring_1,	13301,		25,		72,		0,	1
26,	13,	ring_2,	13301,		25,		72,		0,	1
27,	14,	ring_1,	17881,		25,		72,		0,	1
28,	14,	ring_2,	17881,		25,		72,		0,	1
29,	15,	ring_1,	18971,		25,		72,		0,	1
30,	15,	ring_2,	18971,		25,		72,		0,	1
31,	16,	ring_1,	20061,		25,		72,		0,	1
32,	16,	ring_2,	20061,		25,		72,		0,	1
33,	17,	ring_1,	21151,		25,		72,		0,	1
34,	17,	ring_2,	21151,		25,		72,		0,	1
35,	18,	ring_1,	22241,		25,		72,		0,	1
36,	18,	ring_2,	22241,		25,		72,		0,	1
37,	19,	ring_1,	26821,		25,		72,		0,	1
38,	19,	ring_2,	26821,		25,		72,		0,	1
39,	20,	ring_1,	27911,		25,		72,		0,	1
40,	20,	ring_2,	27911,		25,		72,		0,	1
41,	21,	ring_1,	29001,		25,		72,		0,	1
42,	21,	ring_2,	29001,		25,		72,		0,	1
43,	22,	ring_1,	30091,		25,		72,		0,	1
44,	22,	ring_2,	30091,		25,		72,		0,	1
45,	23,	ring_1,	31181,		25,		72,		0,	1
46,	23,	ring_2,	31181,		25,		72,		0,	1
Bu Spac : space in ns between bunches in the same PS train
SPS Batch Spac : space in ns between 2 first bunches of consecutive PS trains in the SPS

Tot number of B1 bunches(probe/Nominal) : 0/1465
Tot number of B2 bunches(probe/Nominal) : 0/1465

Tot number of B1 injections : 23
Tot number of B2 injections : 23

Collisions at IP1&5: 1453
B1-empty at IP1&5: 12
B2-empty at IP1&5: 12
Empty-empty at IP1&5: 2087

Collisions at IP2: 1122
B1-empty at IP2: 343
B2-empty at IP2: 343
Empty-empty at IP2: 1756

Collisions at IP8: 1153
B1-empty at IP8: 312
B2-empty at IP8: 312
Empty-empty at IP8: 1787

LONG RANGE COLL IN IR1
RFbucketbeam1,RFbucketbeam2,z-pos/m
2351,2181,-63.64
2361,2191,-63.64
2371,2201,-63.64
2381,2211,-63.64
2391,2221,-63.64
2401,2231,-63.64
2411,2241,-63.64
2421,2251,-63.64
2431,2261,-63.64
2441,2271,-63.64
2451,2281,-63.64
2461,2291,-63.64
2471,2301,-63.64
2481,2311,-63.64
2491,2321,-63.64
2501,2331,-63.64
2511,2341,-63.64
2521,2351,-63.64
2531,2361,-63.64
2541,2371,-63.64
2551,2381,-63.64
2561,2391,-63.64
2571,2401,-63.64
2581,2411,-63.64
2591,2421,-63.64
2601,2431,-63.64
2611,2441,-63.64
2621,2451,-63.64
2631,2461,-63.64
2641,2471,-63.64
2651,2481,-63.64
2661,2491,-63.64
2671,2501,-63.64
2681,2511,-63.64
2691,2521,-63.64
2701,2531,-63.64
2711,2541,-63.64
2721,2551,-63.64
2731,2561,-63.64
2741,2571,-63.64
2751,2581,-63.64
2761,2591,-63.64
2771,2601,-63.64
2781,2611,-63.64
2791,2621,-63.64
2801,2631,-63.64
2811,2641,-63.64
2821,2651,-63.64
2831,2661,-63.64
2841,2671,-63.64
2851,2681,-63.64
2861,2691,-63.64
2871,2701,-63.64
2881,2711,-63.64
2891,2721,-63.64
3441,3271,-63.64
3451,3281,-63.64
3461,3291,-63.64
3471,3301,-63.64
3481,3311,-63.64
3491,3321,-63.64
3501,3331,-63.64
3511,3341,-63.64
3521,3351,-63.64
3531,3361,-63.64
3541,3371,-63.64
3551,3381,-63.64
3561,3391,-63.64
3571,3401,-63.64
3581,3411,-63.64
3591,3421,-63.64
3601,3431,-63.64
3611,3441,-63.64
3621,3451,-63.64
3631,3461,-63.64
3641,3471,-63.64
3651,3481,-63.64
3661,3491,-63.64
3671,3501,-63.64
3681,3511,-63.64
3691,3521,-63.64
3701,3531,-63.64
3711,3541,-63.64
3721,3551,-63.64
3731,3561,-63.64
3741,3571,-63.64
3751,3581,-63.64
3761,3591,-63.64
3771,3601,-63.64
3781,3611,-63.64
3791,3621,-63.64
3801,3631,-63.64
3811,3641,-63.64
3821,3651,-63.64
3831,3661,-63.64
3841,3671,-63.64
3851,3681,-63.64
3861,3691,-63.64
3871,3701,-63.64
3881,3711,-63.64
3891,3721,-63.64
3901,3731,-63.64
3911,3741,-63.64
3921,3751,-63.64
3931,3761,-63.64
3941,3771,-63.64
3951,3781,-63.64
3961,3791,-63.64
3971,3801,-63.64
3981,3811,-63.64
4531,4361,-63.64
4541,4371,-63.64
4551,4381,-63.64
4561,4391,-63.64
4571,4401,-63.64
4581,4411,-63.64
4591,4421,-63.64
4601,4431,-63.64
4611,4441,-63.64
4621,4451,-63.64
4631,4461,-63.64
4641,4471,-63.64
4651,4481,-63.64
4661,4491,-63.64
4671,4501,-63.64
4681,4511,-63.64
4691,4521,-63.64
4701,4531,-63.64
4711,4541,-63.64
4721,4551,-63.64
4731,4561,-63.64
4741,4571,-63.64
4751,4581,-63.64
4761,4591,-63.64
4771,4601,-63.64
4781,4611,-63.64
4791,4621,-63.64
4801,4631,-63.64
4811,4641,-63.64
4821,4651,-63.64
4831,4661,-63.64
4841,4671,-63.64
4851,4681,-63.64
4861,4691,-63.64
4871,4701,-63.64
4881,4711,-63.64
4891,4721,-63.64
4901,4731,-63.64
4911,4741,-63.64
4921,4751,-63.64
4931,4761,-63.64
4941,4771,-63.64
4951,4781,-63.64
