INJECTION SCHEME : Multi_52b_52b_32_12_8_4bpi_13inj

idx,inj Nbr,	Ring,RF Bucket,Bu Spac (ns),bu per PS batch,SPS Batch spac,PSbatch nbr
1,	1,	ring_1,	1,		0,		1,		1000,	4
2,	1,	ring_2,	1,		0,		1,		1000,	4
3,	2,	ring_1,	1601,		0,		1,		1000,	4
4,	2,	ring_2,	1601,		0,		1,		1000,	4
5,	3,	ring_2,	3691,		0,		1,		1000,	4
6,	4,	ring_2,	5291,		0,		1,		1000,	4
7,	3,	ring_1,	7111,		0,		1,		1000,	4
8,	4,	ring_1,	8711,		0,		1,		1000,	4
9,	5,	ring_2,	8711,		0,		1,		1000,	4
10,	5,	ring_1,	10311,		0,		1,		1000,	4
11,	6,	ring_2,	10311,		0,		1,		1000,	4
12,	6,	ring_1,	12631,		0,		1,		1000,	4
13,	7,	ring_1,	14231,		0,		1,		1000,	4
14,	7,	ring_2,	16021,		0,		1,		1000,	4
15,	8,	ring_1,	17821,		0,		1,		1000,	4
16,	8,	ring_2,	17821,		0,		1,		1000,	4
17,	9,	ring_1,	19421,		0,		1,		1000,	4
18,	9,	ring_2,	19421,		0,		1,		1000,	4
19,	10,	ring_1,	21681,		0,		1,		1000,	4
20,	11,	ring_1,	23281,		0,		1,		1000,	4
21,	12,	ring_1,	26531,		0,		1,		1000,	4
22,	10,	ring_2,	26531,		0,		1,		1000,	4
23,	13,	ring_1,	28131,		0,		1,		1000,	4
24,	11,	ring_2,	28131,		0,		1,		1000,	4
25,	12,	ring_2,	30591,		0,		1,		1000,	4
26,	13,	ring_2,	32191,		0,		1,		1000,	4
Bu Spac : space in ns between bunches in the same PS train
SPS Batch Spac : space in ns between 2 first bunches of consecutive PS trains in the SPS

Tot number of B1 bunches(probe/Nominal) : 0/52
Tot number of B2 bunches(probe/Nominal) : 0/52

Tot number of B1 injections : 13
Tot number of B2 injections : 13

Collisions at IP1&5: 32
B1-empty at IP1&5: 20
B2-empty at IP1&5: 20
Empty-empty at IP1&5: 3492

Collisions at IP2: 12
B1-empty at IP2: 40
B2-empty at IP2: 40
Empty-empty at IP2: 3472

Collisions at IP8: 8
B1-empty at IP8: 44
B2-empty at IP8: 44
Empty-empty at IP8: 3468

LONG RANGE COLL IN IRIP1
RFbucketbeam1,RFbucketbeam2,z-pos/m
1,1,0
401,401,0
801,801,0
1201,1201,0
1601,1601,0
2001,2001,0
2401,2401,0
2801,2801,0
8711,8711,0
9111,9111,0
9511,9511,0
9911,9911,0
10311,10311,0
10711,10711,0
11111,11111,0
11511,11511,0
17821,17821,0
18221,18221,0
18621,18621,0
19021,19021,0
19421,19421,0
19821,19821,0
20221,20221,0
20621,20621,0
26531,26531,0
26931,26931,0
27331,27331,0
27731,27731,0
28131,28131,0
28531,28531,0
28931,28931,0
29331,29331,0

LONG RANGE COLL IN IRIP2
RFbucketbeam1,RFbucketbeam2,z-pos/m
7111,16021,0
7511,16421,0
7911,16821,0
8311,17221,0
21681,30591,0
22081,30991,0
22481,31391,0
22881,31791,0
23281,32191,0
23681,32591,0
24081,32991,0
24481,33391,0

LONG RANGE COLL IN IRIP5
RFbucketbeam1,RFbucketbeam2,z-pos/m
1,1,0
401,401,0
801,801,0
1201,1201,0
1601,1601,0
2001,2001,0
2401,2401,0
2801,2801,0
8711,8711,0
9111,9111,0
9511,9511,0
9911,9911,0
10311,10311,0
10711,10711,0
11111,11111,0
11511,11511,0
17821,17821,0
18221,18221,0
18621,18621,0
19021,19021,0
19421,19421,0
19821,19821,0
20221,20221,0
20621,20621,0
26531,26531,0
26931,26931,0
27331,27331,0
27731,27731,0
28131,28131,0
28531,28531,0
28931,28931,0
29331,29331,0

LONG RANGE COLL IN IRIP8
RFbucketbeam1,RFbucketbeam2,z-pos/m
1,26531,-63.64
401,26931,-63.64
801,27331,-63.64
1201,27731,-63.64
1601,28131,-63.64
2001,28531,-63.64
2401,28931,-63.64
2801,29331,-63.64
9111,1,-63.64
9511,401,-63.64
9911,801,-63.64
10311,1201,-63.64
10711,1601,-63.64
11111,2001,-63.64
11511,2401,-63.64
17821,8711,-63.64
18221,9111,-63.64
18621,9511,-63.64
19021,9911,-63.64
19421,10311,-63.64
19821,10711,-63.64
20221,11111,-63.64
20621,11511,-63.64
26931,17821,-63.64
27331,18221,-63.64
27731,18621,-63.64
28131,19021,-63.64
28531,19421,-63.64
28931,19821,-63.64
29331,20221,-63.64
12631,3691,0
13031,4091,0
13431,4491,0
13831,4891,0
14231,5291,0
14631,5691,0
15031,6091,0
15431,6491,0


LONG RANGE FOR BEAM 1
RFbucket,Slot,Head-On IP1,Head-On IP2,Head-On IP5,Head-On IP8,Head-On Tot,LR IP1,LR IP2,LR IP5,LR IP8,LR Tot
1,0,1,0,1,0,2,0,0,0,1,1
401,40,1,0,1,0,2,0,0,0,1,1
801,80,1,0,1,0,2,0,0,0,1,1
1201,120,1,0,1,0,2,0,0,0,1,1
1601,160,1,0,1,0,2,0,0,0,1,1
2001,200,1,0,1,0,2,0,0,0,1,1
2401,240,1,0,1,0,2,0,0,0,1,1
2801,280,1,0,1,0,2,0,0,0,1,1
7111,711,0,1,0,0,1,0,0,0,0,0
7511,751,0,1,0,0,1,0,0,0,0,0
7911,791,0,1,0,0,1,0,0,0,0,0
8311,831,0,1,0,0,1,0,0,0,0,0
